"Meetnet";"Periode";"ID";"IDPlots";"Habitattype";"Habitatsubtype";"Phab";"Versie";"Criterium";"Indicator";"Belang";"Status_indicator";"SBZH";"Regio";"PlotWeight";"StratumWeight";"WeightComb"
"MHK";2;"MHK136697";136697;"91E0";"91E0_vc";NA;"Versie 3";"Verstoring";"verruiging";"zb";FALSE;"Buiten";"Atlantic";1;18,47;1,36950074147306
"MHK";2;"MHK140006";140006;"9190";"9190";NA;"Versie 2.0";"Structuur";"aandeel dood hout";"b";TRUE;"Buiten";"Atlantic";1;75,7607142857143;1,32471960632478
"MHK";2;"MHK140006";140006;"9190";"9190";NA;"Versie 2.0";"Structuur";"bosconstantie";"zb";TRUE;"Buiten";"Atlantic";1;75,7607142857143;1,32471960632478
"MHK";2;"MHK140006";140006;"9190";"9190";NA;"Versie 2.0";"Structuur";"hoeveelheid dik dood hout";"zb";FALSE;"Buiten";"Atlantic";1;75,7607142857143;1,32471960632478
"MHK";2;"MHK140006";140006;"9190";"9190";NA;"Versie 2.0";"Structuur";"horizontale structuur - groeiklassen";"b";FALSE;"Buiten";"Atlantic";1;75,7607142857143;1,32471960632478
"MHK";2;"MHK140006";140006;"9190";"9190";NA;"Versie 2.0";"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur";"b";NA;"Buiten";"Atlantic";1;75,7607142857143;1,32471960632478
"MHK";2;"MHK140006";140006;"9190";"9190";NA;"Versie 2.0";"Structuur";"minimum structuurareaal";"zb";FALSE;"Buiten";"Atlantic";1;75,7607142857143;1,32471960632478
"MHK";2;"MHK140006";140006;"9190";"9190";NA;"Versie 2.0";"Structuur";"verticale structuur";"b";TRUE;"Buiten";"Atlantic";1;75,7607142857143;1,32471960632478
"MHK";2;"MHK140006";140006;"9190";"9190";NA;"Versie 2.0";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";TRUE;"Buiten";"Atlantic";1;75,7607142857143;1,32471960632478
"MHK";2;"MHK140006";140006;"9190";"9190";NA;"Versie 2.0";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";FALSE;"Buiten";"Atlantic";1;75,7607142857143;1,32471960632478
"MHK";2;"MHK140006";140006;"9190";"9190";NA;"Versie 2.0";"Verstoring";"invasieve exoten";"b";TRUE;"Buiten";"Atlantic";1;75,7607142857143;1,32471960632478
"MHK";2;"MHK140006";140006;"9190";"9190";NA;"Versie 2.0";"Verstoring";"ruderalisering";"zb";TRUE;"Buiten";"Atlantic";1;75,7607142857143;1,32471960632478
"MHK";2;"MHK140006";140006;"9190";"9190";NA;"Versie 2.0";"Verstoring";"vergrassing";"zb";FALSE;"Buiten";"Atlantic";1;75,7607142857143;1,32471960632478
"MHK";2;"MHK140006";140006;"9190";"9190";NA;"Versie 2.0";"Verstoring";"verruiging";"zb";TRUE;"Buiten";"Atlantic";1;75,7607142857143;1,32471960632478
"MHK";2;"MHK140006";140006;"9190";"9190";NA;"Versie 3";"Structuur";"aandeel dood hout";"b";TRUE;"Buiten";"Atlantic";1;75,7607142857143;1,32471960632478
"MHK";2;"MHK140006";140006;"9190";"9190";NA;"Versie 3";"Structuur";"bosconstantie";"zb";TRUE;"Buiten";"Atlantic";1;75,7607142857143;1,32471960632478
"MHK";2;"MHK140006";140006;"9190";"9190";NA;"Versie 3";"Structuur";"hoeveelheid dik dood hout";"zb";FALSE;"Buiten";"Atlantic";1;75,7607142857143;1,32471960632478
"MHK";2;"MHK140006";140006;"9190";"9190";NA;"Versie 3";"Structuur";"horizontale structuur - groeiklassen";"b";TRUE;"Buiten";"Atlantic";1;75,7607142857143;1,32471960632478
"MHK";2;"MHK140006";140006;"9190";"9190";NA;"Versie 3";"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur";"b";NA;"Buiten";"Atlantic";1;75,7607142857143;1,32471960632478
"MHK";2;"MHK140006";140006;"9190";"9190";NA;"Versie 3";"Structuur";"minimum structuurareaal";"zb";FALSE;"Buiten";"Atlantic";1;75,7607142857143;1,32471960632478
"MHK";2;"MHK140006";140006;"9190";"9190";NA;"Versie 3";"Structuur";"verticale structuur";"b";TRUE;"Buiten";"Atlantic";1;75,7607142857143;1,32471960632478
"MHK";2;"MHK140006";140006;"9190";"9190";NA;"Versie 3";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";TRUE;"Buiten";"Atlantic";1;75,7607142857143;1,32471960632478
"MHK";2;"MHK140006";140006;"9190";"9190";NA;"Versie 3";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";TRUE;"Buiten";"Atlantic";1;75,7607142857143;1,32471960632478
"MHK";2;"MHK140006";140006;"9190";"9190";NA;"Versie 3";"Verstoring";"invasieve exoten van de boom- en struiklaag";"b";TRUE;"Buiten";"Atlantic";1;75,7607142857143;1,32471960632478
"MHK";2;"MHK140006";140006;"9190";"9190";NA;"Versie 3";"Verstoring";"invasieve exoten van de kruidlaag";"zb";TRUE;"Buiten";"Atlantic";1;75,7607142857143;1,32471960632478
"MHK";2;"MHK140006";140006;"9190";"9190";NA;"Versie 3";"Verstoring";"verruiging";"zb";TRUE;"Buiten";"Atlantic";1;75,7607142857143;1,32471960632478
"MHK";2;"MHK146265";146265;"91E0";"91E0_vc";NA;"Versie 2.0";"Structuur";"aandeel dood hout";"b";FALSE;"Binnen";"Atlantic";0,890433591520262;13,4866666666667;0,890433591520262
"MHK";2;"MHK146265";146265;"91E0";"91E0_vc";NA;"Versie 2.0";"Structuur";"bosconstantie";"zb";TRUE;"Binnen";"Atlantic";0,890433591520262;13,4866666666667;0,890433591520262
"MHK";2;"MHK146265";146265;"91E0";"91E0_vc";NA;"Versie 2.0";"Structuur";"hoeveelheid dik dood hout";"zb";FALSE;"Binnen";"Atlantic";0,890433591520262;13,4866666666667;0,890433591520262
"MHK";2;"MHK146265";146265;"91E0";"91E0_vc";NA;"Versie 2.0";"Structuur";"horizontale structuur - groeiklassen";"b";FALSE;"Binnen";"Atlantic";0,890433591520262;13,4866666666667;0,890433591520262
"MHK";2;"MHK146265";146265;"91E0";"91E0_vc";NA;"Versie 2.0";"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur";"b";NA;"Binnen";"Atlantic";0,890433591520262;13,4866666666667;0,890433591520262
"MHK";2;"MHK146265";146265;"91E0";"91E0_vc";NA;"Versie 2.0";"Structuur";"verticale structuur";"b";FALSE;"Binnen";"Atlantic";0,890433591520262;13,4866666666667;0,890433591520262
"MHK";2;"MHK146265";146265;"91E0";"91E0_vc";NA;"Versie 2.0";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";FALSE;"Binnen";"Atlantic";0,890433591520262;13,4866666666667;0,890433591520262
"MHK";2;"MHK146265";146265;"91E0";"91E0_vc";NA;"Versie 2.0";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";FALSE;"Binnen";"Atlantic";0,890433591520262;13,4866666666667;0,890433591520262
"MHK";2;"MHK146265";146265;"91E0";"91E0_vc";NA;"Versie 2.0";"Verstoring";"invasieve exoten";"b";TRUE;"Binnen";"Atlantic";0,890433591520262;13,4866666666667;0,890433591520262
"MHK";2;"MHK146265";146265;"91E0";"91E0_vc";NA;"Versie 2.0";"Verstoring";"ruderalisering";"zb";TRUE;"Binnen";"Atlantic";0,890433591520262;13,4866666666667;0,890433591520262
"MHK";2;"MHK146265";146265;"91E0";"91E0_vc";NA;"Versie 2.0";"Verstoring";"verruiging";"zb";TRUE;"Binnen";"Atlantic";0,890433591520262;13,4866666666667;0,890433591520262
"MHK";2;"MHK146265";146265;"91E0";"91E0_vc";NA;"Versie 3";"Structuur";"aandeel dood hout";"b";FALSE;"Binnen";"Atlantic";0,890433591520262;13,4866666666667;0,890433591520262
"MHK";2;"MHK146265";146265;"91E0";"91E0_vc";NA;"Versie 3";"Structuur";"bosconstantie";"zb";TRUE;"Binnen";"Atlantic";0,890433591520262;13,4866666666667;0,890433591520262
"MHK";2;"MHK146265";146265;"91E0";"91E0_vc";NA;"Versie 3";"Structuur";"hoeveelheid dik dood hout";"zb";FALSE;"Binnen";"Atlantic";0,890433591520262;13,4866666666667;0,890433591520262
"MHK";2;"MHK146265";146265;"91E0";"91E0_vc";NA;"Versie 3";"Structuur";"horizontale structuur - groeiklassen";"b";TRUE;"Binnen";"Atlantic";0,890433591520262;13,4866666666667;0,890433591520262
"MHK";2;"MHK146265";146265;"91E0";"91E0_vc";NA;"Versie 3";"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur";"b";NA;"Binnen";"Atlantic";0,890433591520262;13,4866666666667;0,890433591520262
"MHK";2;"MHK146265";146265;"91E0";"91E0_vc";NA;"Versie 3";"Structuur";"minimum structuurareaal";"zb";TRUE;"Binnen";"Atlantic";0,890433591520262;13,4866666666667;0,890433591520262
"MHK";2;"MHK146265";146265;"91E0";"91E0_vc";NA;"Versie 3";"Structuur";"verticale structuur";"b";FALSE;"Binnen";"Atlantic";0,890433591520262;13,4866666666667;0,890433591520262
"MHK";2;"MHK146265";146265;"91E0";"91E0_vc";NA;"Versie 3";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";FALSE;"Binnen";"Atlantic";0,890433591520262;13,4866666666667;0,890433591520262
"MHK";2;"MHK146265";146265;"91E0";"91E0_vc";NA;"Versie 3";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";TRUE;"Binnen";"Atlantic";0,890433591520262;13,4866666666667;0,890433591520262
"MHK";2;"MHK146265";146265;"91E0";"91E0_vc";NA;"Versie 3";"Verstoring";"invasieve exoten van de boom- en struiklaag";"b";TRUE;"Binnen";"Atlantic";0,890433591520262;13,4866666666667;0,890433591520262
"MHK";2;"MHK146265";146265;"91E0";"91E0_vc";NA;"Versie 3";"Verstoring";"invasieve exoten van de kruidlaag";"zb";TRUE;"Binnen";"Atlantic";0,890433591520262;13,4866666666667;0,890433591520262
"MHK";2;"MHK146265";146265;"91E0";"91E0_vc";NA;"Versie 3";"Verstoring";"verruiging";"zb";TRUE;"Binnen";"Atlantic";0,890433591520262;13,4866666666667;0,890433591520262
"MHK";2;"MHK147174";147174;"9190";"9190";NA;"Versie 2.0";"Structuur";"aandeel dood hout";"b";TRUE;"Binnen";"Atlantic";1;57,19;1
"MHK";2;"MHK147174";147174;"9190";"9190";NA;"Versie 2.0";"Structuur";"bosconstantie";"zb";FALSE;"Binnen";"Atlantic";1;57,19;1
"MHK";2;"MHK147174";147174;"9190";"9190";NA;"Versie 2.0";"Structuur";"hoeveelheid dik dood hout";"zb";FALSE;"Binnen";"Atlantic";1;57,19;1
"MHK";2;"MHK147174";147174;"9190";"9190";NA;"Versie 2.0";"Structuur";"horizontale structuur - groeiklassen";"b";FALSE;"Binnen";"Atlantic";1;57,19;1
"MHK";2;"MHK147174";147174;"9190";"9190";NA;"Versie 2.0";"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur";"b";NA;"Binnen";"Atlantic";1;57,19;1
"MHK";2;"MHK147174";147174;"9190";"9190";NA;"Versie 2.0";"Structuur";"minimum structuurareaal";"zb";FALSE;"Binnen";"Atlantic";1;57,19;1
"MHK";2;"MHK147174";147174;"9190";"9190";NA;"Versie 2.0";"Structuur";"verticale structuur";"b";TRUE;"Binnen";"Atlantic";1;57,19;1
"MHK";2;"MHK147174";147174;"9190";"9190";NA;"Versie 2.0";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";TRUE;"Binnen";"Atlantic";1;57,19;1
"MHK";2;"MHK147174";147174;"9190";"9190";NA;"Versie 2.0";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";FALSE;"Binnen";"Atlantic";1;57,19;1
"MHK";2;"MHK147174";147174;"9190";"9190";NA;"Versie 2.0";"Verstoring";"invasieve exoten";"b";TRUE;"Binnen";"Atlantic";1;57,19;1
"MHK";2;"MHK147174";147174;"9190";"9190";NA;"Versie 2.0";"Verstoring";"ruderalisering";"zb";TRUE;"Binnen";"Atlantic";1;57,19;1
"MHK";2;"MHK147174";147174;"9190";"9190";NA;"Versie 2.0";"Verstoring";"vergrassing";"zb";FALSE;"Binnen";"Atlantic";1;57,19;1
"MHK";2;"MHK147174";147174;"9190";"9190";NA;"Versie 2.0";"Verstoring";"verruiging";"zb";TRUE;"Binnen";"Atlantic";1;57,19;1
"MHK";2;"MHK147174";147174;"9190";"9190";NA;"Versie 3";"Structuur";"aandeel dood hout";"b";TRUE;"Binnen";"Atlantic";1;57,19;1
"MHK";2;"MHK147174";147174;"9190";"9190";NA;"Versie 3";"Structuur";"bosconstantie";"zb";FALSE;"Binnen";"Atlantic";1;57,19;1
"MHK";2;"MHK147174";147174;"9190";"9190";NA;"Versie 3";"Structuur";"hoeveelheid dik dood hout";"zb";FALSE;"Binnen";"Atlantic";1;57,19;1
"MHK";2;"MHK147174";147174;"9190";"9190";NA;"Versie 3";"Structuur";"horizontale structuur - groeiklassen";"b";TRUE;"Binnen";"Atlantic";1;57,19;1
"MHK";2;"MHK147174";147174;"9190";"9190";NA;"Versie 3";"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur";"b";NA;"Binnen";"Atlantic";1;57,19;1
"MHK";2;"MHK147174";147174;"9190";"9190";NA;"Versie 3";"Structuur";"minimum structuurareaal";"zb";FALSE;"Binnen";"Atlantic";1;57,19;1
"MHK";2;"MHK147174";147174;"9190";"9190";NA;"Versie 3";"Structuur";"verticale structuur";"b";TRUE;"Binnen";"Atlantic";1;57,19;1
"MHK";2;"MHK147174";147174;"9190";"9190";NA;"Versie 3";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";TRUE;"Binnen";"Atlantic";1;57,19;1
"MHK";2;"MHK147174";147174;"9190";"9190";NA;"Versie 3";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";TRUE;"Binnen";"Atlantic";1;57,19;1
"MHK";2;"MHK147174";147174;"9190";"9190";NA;"Versie 3";"Verstoring";"invasieve exoten van de boom- en struiklaag";"b";TRUE;"Binnen";"Atlantic";1;57,19;1
"MHK";2;"MHK147174";147174;"9190";"9190";NA;"Versie 3";"Verstoring";"invasieve exoten van de kruidlaag";"zb";TRUE;"Binnen";"Atlantic";1;57,19;1
"MHK";2;"MHK147174";147174;"9190";"9190";NA;"Versie 3";"Verstoring";"verruiging";"zb";TRUE;"Binnen";"Atlantic";1;57,19;1
"MHK";2;"MHK155346";155346;"91E0";"91E0_vo";NA;"Versie 2.0";"Structuur";"aandeel dood hout";"b";FALSE;"Binnen";"Atlantic";1;27,7333333333333;1
"MHK";2;"MHK155346";155346;"91E0";"91E0_vo";NA;"Versie 2.0";"Structuur";"bosconstantie";"zb";FALSE;"Binnen";"Atlantic";1;27,7333333333333;1
"MHK";2;"MHK155346";155346;"91E0";"91E0_vo";NA;"Versie 2.0";"Structuur";"hoeveelheid dik dood hout";"zb";FALSE;"Binnen";"Atlantic";1;27,7333333333333;1
"MHK";2;"MHK155346";155346;"91E0";"91E0_vo";NA;"Versie 2.0";"Structuur";"horizontale structuur - groeiklassen";"b";FALSE;"Binnen";"Atlantic";1;27,7333333333333;1
"MHK";2;"MHK155346";155346;"91E0";"91E0_vo";NA;"Versie 2.0";"Structuur";"minimum structuurareaal";"zb";FALSE;"Binnen";"Atlantic";1;27,7333333333333;1
"MHK";2;"MHK155346";155346;"91E0";"91E0_vo";NA;"Versie 2.0";"Structuur";"verticale structuur";"b";FALSE;"Binnen";"Atlantic";1;27,7333333333333;1
"MHK";2;"MHK155346";155346;"91E0";"91E0_vo";NA;"Versie 2.0";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";FALSE;"Binnen";"Atlantic";1;27,7333333333333;1
"MHK";2;"MHK155346";155346;"91E0";"91E0_vo";NA;"Versie 2.0";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";FALSE;"Binnen";"Atlantic";1;27,7333333333333;1
"MHK";2;"MHK155346";155346;"91E0";"91E0_vo";NA;"Versie 2.0";"Verstoring";"invasieve exoten";"b";TRUE;"Binnen";"Atlantic";1;27,7333333333333;1
"MHK";2;"MHK155346";155346;"91E0";"91E0_vo";NA;"Versie 2.0";"Verstoring";"ruderalisering";"zb";TRUE;"Binnen";"Atlantic";1;27,7333333333333;1
"MHK";2;"MHK155346";155346;"91E0";"91E0_vo";NA;"Versie 2.0";"Verstoring";"verruiging";"zb";FALSE;"Binnen";"Atlantic";1;27,7333333333333;1
"MHK";2;"MHK155346";155346;"91E0";"91E0_vo";NA;"Versie 3";"Structuur";"aandeel dood hout";"b";FALSE;"Binnen";"Atlantic";1;27,7333333333333;1
"MHK";2;"MHK155346";155346;"91E0";"91E0_vo";NA;"Versie 3";"Structuur";"bosconstantie";"zb";FALSE;"Binnen";"Atlantic";1;27,7333333333333;1
"MHK";2;"MHK155346";155346;"91E0";"91E0_vo";NA;"Versie 3";"Structuur";"hoeveelheid dik dood hout";"zb";FALSE;"Binnen";"Atlantic";1;27,7333333333333;1
"MHK";2;"MHK155346";155346;"91E0";"91E0_vo";NA;"Versie 3";"Structuur";"horizontale structuur - groeiklassen";"b";FALSE;"Binnen";"Atlantic";1;27,7333333333333;1
"MHK";2;"MHK155346";155346;"91E0";"91E0_vo";NA;"Versie 3";"Structuur";"minimum structuurareaal";"zb";FALSE;"Binnen";"Atlantic";1;27,7333333333333;1
"MHK";2;"MHK155346";155346;"91E0";"91E0_vo";NA;"Versie 3";"Structuur";"verticale structuur";"b";FALSE;"Binnen";"Atlantic";1;27,7333333333333;1
"MHK";2;"MHK155346";155346;"91E0";"91E0_vo";NA;"Versie 3";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";FALSE;"Binnen";"Atlantic";1;27,7333333333333;1
"MHK";2;"MHK155346";155346;"91E0";"91E0_vo";NA;"Versie 3";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";TRUE;"Binnen";"Atlantic";1;27,7333333333333;1
"MHK";2;"MHK155346";155346;"91E0";"91E0_vo";NA;"Versie 3";"Verstoring";"invasieve exoten van de boom- en struiklaag";"b";TRUE;"Binnen";"Atlantic";1;27,7333333333333;1
"MHK";2;"MHK155346";155346;"91E0";"91E0_vo";NA;"Versie 3";"Verstoring";"invasieve exoten van de kruidlaag";"zb";TRUE;"Binnen";"Atlantic";1;27,7333333333333;1
"MHK";2;"MHK155346";155346;"91E0";"91E0_vo";NA;"Versie 3";"Verstoring";"verruiging";"zb";FALSE;"Binnen";"Atlantic";1;27,7333333333333;1
"MHK";2;"MHK15782";15782;"91E0";"91E0_vc";NA;"Versie 2.0";"Structuur";"aandeel dood hout";"b";TRUE;"Buiten";"Atlantic";1;18,47;1,36950074147306
"MHK";2;"MHK15782";15782;"91E0";"91E0_vc";NA;"Versie 2.0";"Structuur";"bosconstantie";"zb";TRUE;"Buiten";"Atlantic";1;18,47;1,36950074147306
"MHK";2;"MHK15782";15782;"91E0";"91E0_vc";NA;"Versie 2.0";"Structuur";"hoeveelheid dik dood hout";"zb";FALSE;"Buiten";"Atlantic";1;18,47;1,36950074147306
"MHK";2;"MHK15782";15782;"91E0";"91E0_vc";NA;"Versie 2.0";"Structuur";"horizontale structuur - groeiklassen";"b";FALSE;"Buiten";"Atlantic";1;18,47;1,36950074147306
"MHK";2;"MHK15782";15782;"91E0";"91E0_vc";NA;"Versie 2.0";"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur";"b";NA;"Buiten";"Atlantic";1;18,47;1,36950074147306
"MHK";2;"MHK15782";15782;"91E0";"91E0_vc";NA;"Versie 2.0";"Structuur";"verticale structuur";"b";TRUE;"Buiten";"Atlantic";1;18,47;1,36950074147306
"MHK";2;"MHK15782";15782;"91E0";"91E0_vc";NA;"Versie 2.0";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";TRUE;"Buiten";"Atlantic";1;18,47;1,36950074147306
"MHK";2;"MHK15782";15782;"91E0";"91E0_vc";NA;"Versie 2.0";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";FALSE;"Buiten";"Atlantic";1;18,47;1,36950074147306
"MHK";2;"MHK15782";15782;"91E0";"91E0_vc";NA;"Versie 2.0";"Verstoring";"invasieve exoten";"b";TRUE;"Buiten";"Atlantic";1;18,47;1,36950074147306
"MHK";2;"MHK15782";15782;"91E0";"91E0_vc";NA;"Versie 2.0";"Verstoring";"ruderalisering";"zb";FALSE;"Buiten";"Atlantic";1;18,47;1,36950074147306
"MHK";2;"MHK15782";15782;"91E0";"91E0_vc";NA;"Versie 2.0";"Verstoring";"verruiging";"zb";TRUE;"Buiten";"Atlantic";1;18,47;1,36950074147306
"MHK";2;"MHK15782";15782;"91E0";"91E0_vc";NA;"Versie 3";"Structuur";"aandeel dood hout";"b";TRUE;"Buiten";"Atlantic";1;18,47;1,36950074147306
"MHK";2;"MHK15782";15782;"91E0";"91E0_vc";NA;"Versie 3";"Structuur";"bosconstantie";"zb";TRUE;"Buiten";"Atlantic";1;18,47;1,36950074147306
"MHK";2;"MHK15782";15782;"91E0";"91E0_vc";NA;"Versie 3";"Structuur";"hoeveelheid dik dood hout";"zb";FALSE;"Buiten";"Atlantic";1;18,47;1,36950074147306
"MHK";2;"MHK15782";15782;"91E0";"91E0_vc";NA;"Versie 3";"Structuur";"horizontale structuur - groeiklassen";"b";TRUE;"Buiten";"Atlantic";1;18,47;1,36950074147306
"MHK";2;"MHK15782";15782;"91E0";"91E0_vc";NA;"Versie 3";"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur";"b";NA;"Buiten";"Atlantic";1;18,47;1,36950074147306
"MHK";2;"MHK15782";15782;"91E0";"91E0_vc";NA;"Versie 3";"Structuur";"minimum structuurareaal";"zb";FALSE;"Buiten";"Atlantic";1;18,47;1,36950074147306
"MHK";2;"MHK15782";15782;"91E0";"91E0_vc";NA;"Versie 3";"Structuur";"verticale structuur";"b";TRUE;"Buiten";"Atlantic";1;18,47;1,36950074147306
"MHK";2;"MHK15782";15782;"91E0";"91E0_vc";NA;"Versie 3";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";TRUE;"Buiten";"Atlantic";1;18,47;1,36950074147306
"MHK";2;"MHK15782";15782;"91E0";"91E0_vc";NA;"Versie 3";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";FALSE;"Buiten";"Atlantic";1;18,47;1,36950074147306
"MHK";2;"MHK15782";15782;"91E0";"91E0_vc";NA;"Versie 3";"Verstoring";"invasieve exoten van de boom- en struiklaag";"b";TRUE;"Buiten";"Atlantic";1;18,47;1,36950074147306
"MHK";2;"MHK15782";15782;"91E0";"91E0_vc";NA;"Versie 3";"Verstoring";"invasieve exoten van de kruidlaag";"zb";TRUE;"Buiten";"Atlantic";1;18,47;1,36950074147306
"MHK";2;"MHK15782";15782;"91E0";"91E0_vc";NA;"Versie 3";"Verstoring";"verruiging";"zb";FALSE;"Buiten";"Atlantic";1;18,47;1,36950074147306
"MHK";2;"MHK159414";159414;"91E0";"91E0_vo";NA;"Versie 2.0";"Structuur";"aandeel dood hout";"b";TRUE;"Binnen";"Atlantic";0,832130813138851;27,7333333333333;0,832130813138851
"MHK";2;"MHK159414";159414;"91E0";"91E0_vo";NA;"Versie 2.0";"Structuur";"bosconstantie";"zb";FALSE;"Binnen";"Atlantic";0,832130813138851;27,7333333333333;0,832130813138851
"MHK";2;"MHK159414";159414;"91E0";"91E0_vo";NA;"Versie 2.0";"Structuur";"hoeveelheid dik dood hout";"zb";FALSE;"Binnen";"Atlantic";0,832130813138851;27,7333333333333;0,832130813138851
"MHK";2;"MHK159414";159414;"91E0";"91E0_vo";NA;"Versie 2.0";"Structuur";"horizontale structuur - groeiklassen";"b";FALSE;"Binnen";"Atlantic";0,832130813138851;27,7333333333333;0,832130813138851
"MHK";2;"MHK159414";159414;"91E0";"91E0_vo";NA;"Versie 2.0";"Structuur";"minimum structuurareaal";"zb";FALSE;"Binnen";"Atlantic";0,832130813138851;27,7333333333333;0,832130813138851
"MHK";2;"MHK159414";159414;"91E0";"91E0_vo";NA;"Versie 2.0";"Structuur";"verticale structuur";"b";TRUE;"Binnen";"Atlantic";0,832130813138851;27,7333333333333;0,832130813138851
"MHK";2;"MHK159414";159414;"91E0";"91E0_vo";NA;"Versie 2.0";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";TRUE;"Binnen";"Atlantic";0,832130813138851;27,7333333333333;0,832130813138851
"MHK";2;"MHK159414";159414;"91E0";"91E0_vo";NA;"Versie 2.0";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";FALSE;"Binnen";"Atlantic";0,832130813138851;27,7333333333333;0,832130813138851
"MHK";2;"MHK159414";159414;"91E0";"91E0_vo";NA;"Versie 2.0";"Verstoring";"invasieve exoten";"b";TRUE;"Binnen";"Atlantic";0,832130813138851;27,7333333333333;0,832130813138851
"MHK";2;"MHK159414";159414;"91E0";"91E0_vo";NA;"Versie 2.0";"Verstoring";"ruderalisering";"zb";TRUE;"Binnen";"Atlantic";0,832130813138851;27,7333333333333;0,832130813138851
"MHK";2;"MHK159414";159414;"91E0";"91E0_vo";NA;"Versie 2.0";"Verstoring";"verruiging";"zb";FALSE;"Binnen";"Atlantic";0,832130813138851;27,7333333333333;0,832130813138851
"MHK";2;"MHK159414";159414;"91E0";"91E0_vo";NA;"Versie 3";"Structuur";"aandeel dood hout";"b";TRUE;"Binnen";"Atlantic";0,832130813138851;27,7333333333333;0,832130813138851
"MHK";2;"MHK159414";159414;"91E0";"91E0_vo";NA;"Versie 3";"Structuur";"bosconstantie";"zb";FALSE;"Binnen";"Atlantic";0,832130813138851;27,7333333333333;0,832130813138851
"MHK";2;"MHK159414";159414;"91E0";"91E0_vo";NA;"Versie 3";"Structuur";"hoeveelheid dik dood hout";"zb";FALSE;"Binnen";"Atlantic";0,832130813138851;27,7333333333333;0,832130813138851
"MHK";2;"MHK159414";159414;"91E0";"91E0_vo";NA;"Versie 3";"Structuur";"horizontale structuur - groeiklassen";"b";TRUE;"Binnen";"Atlantic";0,832130813138851;27,7333333333333;0,832130813138851
"MHK";2;"MHK159414";159414;"91E0";"91E0_vo";NA;"Versie 3";"Structuur";"minimum structuurareaal";"zb";FALSE;"Binnen";"Atlantic";0,832130813138851;27,7333333333333;0,832130813138851
"MHK";2;"MHK159414";159414;"91E0";"91E0_vo";NA;"Versie 3";"Structuur";"verticale structuur";"b";TRUE;"Binnen";"Atlantic";0,832130813138851;27,7333333333333;0,832130813138851
"MHK";2;"MHK159414";159414;"91E0";"91E0_vo";NA;"Versie 3";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";TRUE;"Binnen";"Atlantic";0,832130813138851;27,7333333333333;0,832130813138851
"MHK";2;"MHK159414";159414;"91E0";"91E0_vo";NA;"Versie 3";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";FALSE;"Binnen";"Atlantic";0,832130813138851;27,7333333333333;0,832130813138851
"MHK";2;"MHK159414";159414;"91E0";"91E0_vo";NA;"Versie 3";"Verstoring";"invasieve exoten van de boom- en struiklaag";"b";TRUE;"Binnen";"Atlantic";0,832130813138851;27,7333333333333;0,832130813138851
"MHK";2;"MHK159414";159414;"91E0";"91E0_vo";NA;"Versie 3";"Verstoring";"invasieve exoten van de kruidlaag";"zb";TRUE;"Binnen";"Atlantic";0,832130813138851;27,7333333333333;0,832130813138851
"MHK";2;"MHK159414";159414;"91E0";"91E0_vo";NA;"Versie 3";"Verstoring";"verruiging";"zb";FALSE;"Binnen";"Atlantic";0,832130813138851;27,7333333333333;0,832130813138851
