"Habitattype";"Habitatsubtype";"Indicator";"Voorwaarde";"SBZH";"nObs";"sumWeight";"Gemiddelde";"Gemiddelde_LLCI";"Gemiddelde_ULCI"
"9160";"9160";"hoeveelheid dik dood hout";"aantal exemplaren dik dood hout per ha";"Binnen & Buiten";40;39,0865579993724;0;0;0
"91E0";"91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn; 91E0_sf";"hoeveelheid dik dood hout";"aantal exemplaren dik dood hout per ha";"Binnen & Buiten";186;519,409419604538;1,4399;0,4131;2,4666
"91E0";"91E0_sf";"hoeveelheid dik dood hout";"aantal exemplaren dik dood hout per ha";"Binnen & Buiten";30;342,2;2,1855;0,6078;3,7631
"91E0";"91E0_va";"hoeveelheid dik dood hout";"aantal exemplaren dik dood hout per ha";"Binnen & Buiten";43;56,9349769178057;0;0;0
"91E0";"91E0_vc";"hoeveelheid dik dood hout";"aantal exemplaren dik dood hout per ha";"Binnen & Buiten";25;23,9007329514447;0;0;0
"91E0";"91E0_vm";"hoeveelheid dik dood hout";"aantal exemplaren dik dood hout per ha";"Binnen & Buiten";34;37,2648798338957;0;0;0
"91E0";"91E0_vn";"hoeveelheid dik dood hout";"aantal exemplaren dik dood hout per ha";"Binnen & Buiten";35;39,2960588041952;0;0;0
"91E0";"91E0_vo";"hoeveelheid dik dood hout";"aantal exemplaren dik dood hout per ha";"Binnen & Buiten";19;19,8127710971964;0;0;0
"9190";"9190";"hoeveelheid dik dood hout";"aantal exemplaren dik dood hout per ha";"Binnen & Buiten";55;56,1819961494219;0;0;0
"9130";"9130";"hoeveelheid dik dood hout";"aantal exemplaren dik dood hout per ha";"Binnen & Buiten";36;112,777118275683;0;0;0
"9120";"9120";"hoeveelheid dik dood hout";"aantal exemplaren dik dood hout per ha";"Binnen & Buiten";246;235,902318427922;0;0;0
"9110";"9110";"hoeveelheid dik dood hout";"aantal exemplaren dik dood hout per ha";"Binnen & Buiten";3;11,0218068535826;0;NA;NA
